Nino Bravo - Un beso y una flor;maEVfX9zRIE
Julio Iglesias - Un canto a Galicia;zCEqTvLcMPQ
Camilo Sesto - Algo de mí;DY4GbPbQggA
Mari Trini - Yo no soy esa;ay4XUA8JRNY
Juan Pardo - La balada del hombre del sur;b2tLwncLn_0
