Héroes del Silencio - Nuestros nombres;n0bm3nN_I3k
Héroes del Silencio - La herida;eeJ9ZaFiBrw
Héroes del Silencio - La sirena varada;IyCw0DabDsk
Héroes del Silencio - Los placeres de la pobreza;T2ipYzAbGK4
Héroes del Silencio - Flor de loto;ic4vr9y5rNg
La Unión - Hermana Tierra;CfdJOuBITVU
La Unión - Africa;Kuyt4gU1w0g
El Último de la Fila - Lápiz y tinta;wljszV4Zzjs
El Último de la Fila - El que canta su mal espanta;KUR1brrZfq8
El Último de la Fila - Hierbas de Asia;pPwoievI4Ys
El Último de la Fila - Como un burro amarrado en la puerta del baile;uvJsjk96c6Q
