Triana - Tu frialdad;rRhzMOH0Ypg
Camilo Sesto - El amor de mi vida;vM6r0Z8ie1g
Miguel Bosé - Amelia;nq3aTN7wK6s
Alameda - Aires de la Alameda;m6ckZT6CFwo
