Héroes del Silencio - Entre dos tierras;6wMMcCkRAsk
Héroes del Silencio - Maldito duende;SqB4FSettTI
Héroes del Silencio - Con nombre de guerra;Bq_5GzVPSLY
La Unión - Fueron los celos;pVf6QqYo1RM
La Unión - Si tu quisieras;nPOaZ56EtoM
La Unión - Ella es un volcán;JfBL7QIFexk
La Unión - Santa María;luNtRGWw2K8
