La Unión - Eclipse total;-owGOAjMjKk
La Unión - Lobo-hombre en París;9qbxiPLVHNE
La Unión - Sildavia;BDWvtBxTz8Q
La Uníon - Cabaret;f1DsymQzD0U
Mecano - Hawaii-Bombay;qLZZwmt8lwg
Mecano - No pintamos nada;2Do19Liuk-E
Mecano - Japón;1zj6vKafSQA
Mecano - La estación;lZuRD4Ire0Y
Mecano - Busco algo barato;UiRVsDO1sJM
Mecano - Ya viene el sol;Zz4S9nsW7mg
Mecano - Aire;kWnFwZeM6Sw
Olé Olé - Voy a mil;43vT1uOMy3M
Santiago Auserón - La bola de cristal;MgL7-0tVCB0
Radio Futura - Escuela de calor;S2ka5eRvZCc
