Pistones - Que el sol te dé;V5p_AtezKhI
El Último De La Fila - Insurrección;zSDChFnoqQI
Mecano - No es serio este cementerio;4XXpg65qS34
Mecano - Hijo de la Luna;OwGG5fX7bxY
Mecano - Ay qué pesado;U7FTf2m6xfc
Mecano - No tienes nada que perder;TGcg3dGwgJU
Mecano - Cruz de navajas;xLgQ6AHZXAU
Mecano - Me cuesta tanto olvidarte;v6IJg5E3-sA
Mecano - Las curvas de esa chica;iX7XRnp8T4s
Danza Invisible - Sin aliento;20ALOWiFz68
German Coppini & Nacho Cano - Chupito De Amor;xev3nxnY6Uw
Gabinete Caligari - Al calor del amor en un bar;gidwPLGbPDY
Los Toreros Muertos - Mi agüita amarilla;qTq1i1SdH3o
Los Toreros Muertos - Yo No Me Llamo Javier;yznk4m5UQsc
